Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,DebtRatio_age,Income_per_Loan
1,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,36.134195805,701.5384615384615
2,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,4.87504804,650.0
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,3.23430825,1521.0
4,0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,1.08149046,660.0
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,1.221359055,9084.0
6,0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,27.794915706,1166.6666666666667
7,0,0.305682465,57,0,5710.0,,8,0,3,0,0.0,325470.0,
8,0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,8.187660663,437.5
9,0,0.116950644,27,0,46.0,,2,0,0,0,,1242.0,
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,34.558581357,2631.5555555555557
11,0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,9.2842863,500.0
12,0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,27.107966760000004,928.7142857142857
13,0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,13.72428745,958.0
14,1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,15.31858988,1522.2222222222222
15,0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0,36252.0,0.0
16,0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,13.433072256,1623.142857142857
17,0,0.061086118,78,0,2058.0,,10,0,2,0,0.0,160524.0,
18,0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,9.97852518,1257.142857142857
19,0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,22.699177077,468.57142857142856
20,0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,1.6467065749999998,166.5
21,0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,18.491992533999998,1230.0
22,1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,18.081972668,428.57142857142856
23,0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,9.403038801,625.0
24,0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,2.736390048,1319.3333333333333
25,0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,14.01406701,268.44444444444446
26,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,79.76266840000001,334.0
27,0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,5.664986787999999,378.77272727272725
28,0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,2.924430243,147.05882352941177
29,0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0.282269928,3400.0
30,0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,25.293946566000002,366.6666666666667
31,0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,4.3456320040000005,525.0
32,0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,11.344873512,750.0
33,0,0.083418009,62,0,977.0,,6,0,1,0,0.0,60574.0,
34,0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,17.887301841,777.7777777777778
35,0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,10.824742278,318.57142857142856
36,0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,4.706481216,1222.2222222222222
37,0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,28.39290175,444.44444444444446
38,0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,10.0558659,3400.0
39,0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0.25974026,1000.0
40,0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,42.033704648,350.0
41,0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,22.121733023999997,407.14285714285717
42,0,0.07289757,81,0,75.0,,7,0,0,0,0.0,6075.0,
43,0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,1.494541124,2312.5
44,0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,4.763517192,915.25
45,0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0,114750.0,0.03225806451612903
46,0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,12.445092520000001,1400.0
47,0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,0.692405894,1566.5
48,0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,21.370485034999998,484.25
49,0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0,14.959156988,1000.0
50,0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,17.94377627,328.57142857142856
51,0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0,225935.0,0.0
52,1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,25.566477852,300.0
53,0,0.9999999,62,0,0.0,,1,0,0,0,0.0,0.0,
54,0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,15.625456449,1150.0
55,0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,0.23387096400000001,2231.0
56,0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,4.023125975,3448.25
57,0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,0.77840165,1300.0
58,0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0,22.480571968,804.0
59,0,0.541108804,43,0,2477.0,,3,0,1,0,2.0,106511.0,
60,0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,9.156346744999999,581.3
61,0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,13.985868454,707.5454545454545
62,0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0,0.5543653199999999,1866.6666666666667
63,0,0.101155821,72,0,1720.0,,12,0,2,0,0.0,123840.0,
64,0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0,48.364292176,554.3333333333334
65,0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,32.992668300000005,450.0
66,0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,36.245901669000006,1860.0
67,0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0,17.402900074999998,454.29411764705884
68,0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0.0,18.388235304,254.66666666666666
69,0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2.0,3.454772618,333.3333333333333
70,0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,10.30795264,727.3076923076923
71,0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0,9.454025051999999,1397.3333333333333
72,0,0.142013011,67,0,1824.0,,7,0,2,0,0.0,122208.0,
73,0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0,20.69708564,452.8666666666667
74,0,0.059668871,31,0,3162.0,0.0,11,0,2,0,1.0,98022.0,0.0
75,1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0,8.961200997,1139.6666666666667
76,0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0,4.198116492,452.63157894736844
77,0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0,20.144761521,960.0
78,0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,2.743770113,829.1666666666666
79,0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0,18.660955953,1071.4285714285713
80,0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,114.705656745,94.72727272727273
81,0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1.0,5.778844396,773.7857142857143
82,0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0,13.783603614,1500.0
83,0,0.017258977,53,0,2.604510673,12414.0,13,0,1,0,2.0,138.039065669,954.9230769230769
84,0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,27.553221584,275.0
85,0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0,12.245986079,330.0
86,0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0,18.336402692,542.8888888888889
87,0,0.360509632,58,1,3282.0,,8,0,2,0,0.0,190356.0,
88,0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0,0.259918784,640.0
89,1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,26.61649353,362.7692307692308
90,0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0,29.23733982,327.73333333333335
91,0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0,788766.0,0.0
92,0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0,10.275211922,807.6923076923077
93,0,0.784835658,52,0,2662.0,,10,0,2,1,0.0,138424.0,
94,0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0,12.525729268,762.5
95,0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0,22.546275400000003,620.0
96,0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0,10.671435179,590.9090909090909
97,0,0.542242704,48,2,10.0,,2,0,0,0,,480.0,
98,0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0.0,15.997900269,952.3333333333334
99,0,0.363199686,32,0,0.480523957,2900.0,4,0,1,0,0.0,15.376766624,725.0
100,0,0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0.0,0.509931975,1875.0
101,0,0.013024674,61,0,15.0,,4,0,0,0,0.0,915.0,
102,0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0.0,11.08122968,444.44444444444446
103,0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0,7.1884057960000005,1345.0
104,0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0,13.166836407999998,613.5
105,0,0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0.0,14.759539245000001,1190.4285714285713
106,0,0.114830941,46,0,0.026235802,6250.0,6,0,0,0,3.0,1.206846892,1041.6666666666667
107,0,0.018886792,80,0,0.003478779,10060.0,5,0,0,0,0.0,0.27830232,2012.0
108,0,0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1.0,16.623792064,750.0
109,0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0.0,41.181719794,1039.25
110,0,0.041257909,61,0,4739.0,,11,0,4,0,,289079.0,
111,0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0,0.458192707,4000.0
112,0,0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0.0,80.19248826399999,147.42307692307693
113,0,0.186987534,52,0,0.023993145,3500.0,4,0,0,0,0.0,1.24764354,875.0
114,0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0,7.350064988,1000.0
115,0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0,14.993221425,442.42857142857144
116,0,0.00750765,74,0,7.0,,4,0,0,0,0.0,518.0,
117,0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0,6.858739334,1700.0
118,0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,54.707964608000005,813.4
119,0,0.007520592,68,0,269.0,,4,0,0,0,0.0,18292.0,
120,0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0,8.35744888,1361.3333333333333
121,0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0,3.836327345,166.66666666666666
122,0,0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0.0,10.129748928,409.09090909090907
123,0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0,16.047033253,318.84615384615387
124,0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0,21.259624326,1555.5555555555557
125,0,0.277956679,39,0,4090.0,,9,0,2,0,0.0,159510.0,
126,0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0,36.73273458,645.6
127,0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0,13.5822478,235.71428571428572
128,0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,12.912406119,1474.3846153846155
129,0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0.0,9.590200812,545.4545454545455
130,0,0.0,59,0,0.351699622,4500.0,12,0,1,0,0.0,20.750277697999998,375.0
131,0,0.175727593,43,1,994.0,,4,0,1,0,0.0,42742.0,
132,0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0,0.153846154,1000.0
133,0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0,24.838497024,650.0
134,0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0,7.005087198,393.0
135,0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0.0,5.146937492999999,630.0
136,0,0.083880003,53,0,0.199647533,7943.0,8,0,1,0,0.0,10.581319249,992.875
137,0,0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2.0,59.690485007999996,245.45454545454547
138,0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0,71.141304339,344.9166666666667
139,0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0,6.162839925,1575.0
140,0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0,17.063122932,270.85
141,0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0,17.769852925,1359.8
142,0,0.576518559,72,0,3031.0,,11,0,1,0,0.0,218232.0,
143,0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3.0,28.303472234,392.6818181818182
144,0,0.362483818,27,0,567.0,,4,0,0,0,0.0,15309.0,
145,0,0.116676791,31,0,0.343593791,3800.0,7,0,1,0,0.0,10.651407521,542.8571428571429
146,0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0,16.48059088,831.5714285714286
147,0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0,18.09455244,1136.3636363636363
148,0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0,20.538344352,231.58823529411765
149,0,0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3.0,37.40359895,388.8888888888889
150,0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0,0.8809980719999999,1041.5
151,0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0,17.802066,214.28571428571428
152,0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0,37.381319625,388.8888888888889
153,0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0,9.455136210000001,1000.0
154,0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0,4.049257968,452.2857142857143
155,0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0,20.295075132,958.3
156,0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0,24.77878698,341.25
157,0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,19.892342302,521.7391304347826
158,0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0,39.297968395,281.8181818181818
159,0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3.0,1.39391264,1133.3333333333333
160,0,0.0,63,0,2.0,,4,0,0,0,,126.0,
161,0,0.0,50,1,0.726566993,3477.0,5,0,1,0,1.0,36.32834965,695.4
162,0,0.070771911,38,0,2088.0,,6,0,1,0,0.0,79344.0,
163,1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0,51.902159878,902.6666666666666
164,0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2.0,38.482999821,571.7777777777778
165,0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0,24.943761738,988.0
166,0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0.0,182.638592748,208.33333333333334
167,0,0.081379827,63,0,1268.0,,8,0,1,0,0.0,79884.0,
168,0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0,18545.5,0.3333333333333333
169,0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0,4.984615368,966.75
170,0,0.771845631,33,0,0.852429514,5000.0,7,0,3,0,0.0,28.130173962,714.2857142857143
171,0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0,6.414574536,1125.0
172,0,0.9999999,29,0,974.0,,2,0,0,0,0.0,28246.0,
173,0,0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3.0,28.812175297000003,682.3636363636364
174,0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0,28.846941165999997,466.6666666666667
175,0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0,19.836294408,859.5454545454545
176,0,0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1.0,22.820635857000003,500.0
177,0,0.9999999,69,0,0.005319149,2255.0,0,1,0,0,3.0,0.367021281,2255.0
178,0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0.0,0.8195907,1118.3333333333333
179,0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0,37.209079566,400.0
180,1,0.946963874,35,0,1593.0,,6,0,1,0,1.0,55755.0,
181,0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0,30.720425916000003,350.0
182,0,0.055549313,65,0,2177.0,,6,0,1,0,1.0,141505.0,
183,0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0,24.016620485,397.0
184,0,0.184986787,55,4,3144.0,,11,0,1,0,0.0,172920.0,
185,1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0,24.352685028,563.6363636363636
186,1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,3.8224202999999997,972.0
187,1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0,12.835221432,554.7142857142857
188,0,0.0112096,86,0,13.0,,3,0,0,0,0.0,1118.0,
189,0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0,24.579084208,714.2857142857143
190,0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0,25.8996067,1250.0
191,0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0,21.249048896,488.07142857142856
192,0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0,28.445301346999997,500.0
193,0,0.0,49,0,2932.0,,11,0,1,0,0.0,143668.0,
194,0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0,8.594278659999999,650.0
195,0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0,1.29574088,555.5555555555555
196,1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0,2831.0,0.07692307692307693
197,0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3.0,9.876482088000001,4200.0
198,0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0,4.78642836,471.42857142857144
199,0,0.114869499,35,0,103.0,,6,0,0,0,0.0,3605.0,
200,0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0,21.282269955,377.77777777777777
201,0,0.045423864,64,0,0.181311286,5200.0,4,0,1,0,0.0,11.603922304,1300.0
202,0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0,16.426168023,822.1666666666666
203,0,0.078738916,46,0,0.166215372,4800.0,6,0,1,0,4.0,7.645907112,800.0
204,0,0.137609462,49,0,0.429533892,7272.0,11,0,2,0,0.0,21.047160708,661.0909090909091
205,0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0.0,11.12765248,1125.0
206,0,0.021978375,40,0,0.443755624,10000.0,12,0,5,0,2.0,17.75022496,833.3333333333334
207,0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0,0.657182025,1458.25
208,0,0.007506793,60,0,1253.0,,8,0,1,0,1.0,75180.0,
209,0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0,3.158053548,203.84615384615384
210,0,0.292365949,50,0,0.420180551,8750.0,8,0,2,0,0.0,21.00902755,1093.75
211,0,0.20808276,64,0,2826.0,,14,0,2,0,0.0,180864.0,
212,0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0,23.63467491,484.25
213,0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2.0,9.723593484,2375.0
214,0,0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0.0,3.0788201799999997,6000.0
215,1,0.655316473,63,0,5223.0,,19,0,2,0,0.0,329049.0,
216,0,0.9999999,50,2,1208.0,,4,0,1,0,0.0,60400.0,
217,0,0.028113957,61,0,0.031349387,2200.0,12,0,0,0,0.0,1.912312607,183.33333333333334
218,0,0.222696207,42,0,800.0,1.0,3,0,1,0,2.0,33600.0,0.3333333333333333
219,0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0,20.960007642,1312.5
220,0,0.017508178,73,1,0.135589153,4166.0,12,0,1,0,0.0,9.898008168999999,347.1666666666667
221,0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0,3.2964084000000002,2533.3333333333335
222,0,0.333060631,52,3,0.700153374,5215.0,15,0,2,1,0.0,36.407975448,347.6666666666667
223,0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2.0,16.957639575,2041.75
224,0,0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0.0,13.061611376000002,632.9090909090909
225,0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0,44.211262914,315.8421052631579
226,0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0,11.930511583000001,857.1428571428571
227,1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0,5.833005358,711.2
228,0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1.0,20.18590704,285.7142857142857
229,0,0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2.0,17.877050461,1280.0
230,0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0.0,16.554744549000002,1250.0
231,0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0.0,0.187410756,2568.0
232,0,0.196372799,43,0,0.537485582,2600.0,10,0,1,0,0.0,23.111880025999998,260.0
233,0,0.083945242,64,0,0.588073078,2900.0,6,0,1,0,0.0,37.636676992,483.3333333333333
234,0,0.034833091,67,0,0.460246187,12916.0,9,0,2,0,0.0,30.836494529,1435.111111111111
235,0,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1.0,18.400724472,368.0
236,0,0.0,66,0,3730.0,,8,0,1,0,0.0,246180.0,
237,0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0,26.218756244999998,1666.6666666666667
238,0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0,24.304422365999997,343.11764705882354
239,0,0.9999999,28,0,0.0,,0,0,0,0,,0.0,
240,0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1.0,13.336975915,2333.3333333333335
241,1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0,12.807671325,500.0
242,0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0.0,0.020855151000000002,1050.0
243,0,0.877564897,58,0,2825.0,,10,0,2,0,0.0,163850.0,
244,0,0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0.0,2.753541068,6000.0
245,0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0,8.34940564,3000.0
246,0,0.732660667,44,2,0.14041952,9200.0,15,0,1,0,0.0,6.17845888,613.3333333333334
247,0,0.084220458,42,0,0.458551158,6694.0,26,0,2,0,4.0,19.259148636,257.46153846153845
248,0,0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2.0,14.39856016,500.0
249,0,0.012151003,78,0,0.008886914,4500.0,12,0,0,0,0.0,0.693179292,375.0
250,0,0.081310737,81,0,0.165566887,3333.0,4,0,0,0,0.0,13.410917847,833.25
251,0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0.0,12.593872640999999,736.1111111111111
252,1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0.0,8.813481872,291.6666666666667
253,0,0.011883886,54,0,0.092913547,9750.0,8,0,1,0,2.0,5.017331538,1218.75
254,0,0.75264947,33,1,0.058322869,7166.0,6,0,0,0,0.0,1.924654677,1194.3333333333333
255,0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5.0,14.146218075,944.4444444444445
256,0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0,0.0,1725.0
257,0,0.634327056,49,1,0.123125125,15000.0,7,0,0,0,1.0,6.033131125,2142.8571428571427
258,0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2.0,12.235391607999999,1206.25
259,0,0.0,63,0,0.007988922,9387.0,9,0,0,0,0.0,0.503302086,1043.0
260,0,0.090614887,42,0,86.0,,5,0,0,0,0.0,3612.0,
261,0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0,8.137349025,3125.0
262,0,0.027446383,54,0,1612.0,,6,0,1,0,0.0,87048.0,
