Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,DebtRatio_age,Income_per_Loan
263,0,0.412398622,28,0,0.037259615,4991.0,5,0,0,0,0.0,1.04326922,998.2
264,0,0.024670782,78,0,392.0,,6,0,1,0,,30576.0,
265,0,0.046710961,66,0,1.117952819,2500.0,12,0,1,0,0.0,73.78488605400001,208.33333333333334
266,0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2.0,8.450521984,1133.3333333333333
267,0,0.007982621,43,1,0.009691169,208333.0,11,0,1,0,1.0,0.416720267,18939.363636363636
268,0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0,37.618838783,438.46153846153845
269,0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0,20.303343683999998,322.22222222222223
270,0,0.010402205,68,0,0.094140517,3600.0,6,0,1,0,0.0,6.401555156000001,600.0
271,0,0.9999999,61,0,0.529548989,1285.0,3,0,1,0,0.0,32.302488329,428.3333333333333
272,0,0.029816467,68,0,0.175139978,4464.0,12,0,1,0,1.0,11.909518504,372.0
273,0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1.0,7.435844712,686.2352941176471
274,0,0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2.0,30.278860547999997,466.8
275,0,0.29264536,57,0,0.205927884,26484.0,11,0,2,0,3.0,11.737889388000001,2407.6363636363635
276,1,0.220823719,46,1,0.637749121,1705.0,5,0,0,0,0.0,29.336459566000002,341.0
277,0,0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0.0,26.902796124,2777.3333333333335
278,0,0.0,44,0,0.326383681,6666.0,4,0,2,0,1.0,14.360881963999999,1666.5
279,0,0.006099797,28,0,0.139429485,3750.0,8,0,0,0,0.0,3.90402558,468.75
280,0,0.909538698,53,1,0.595653913,7500.0,16,0,1,0,1.0,31.569657389000003,468.75
281,0,0.941072508,40,0,0.178184282,8855.0,9,0,1,0,0.0,7.12737128,983.8888888888889
282,0,0.991667222,36,1,0.554878049,5411.0,10,0,2,0,1.0,19.975609764,541.1
283,0,0.691488418,42,0,0.272721679,16250.0,11,0,1,0,1.0,11.454310518,1477.2727272727273
284,0,0.112855258,64,0,0.307576329,2652.0,6,0,1,0,0.0,19.684885056,442.0
285,0,0.260971034,57,0,5439.0,,16,0,3,0,,310023.0,
286,0,0.048244493,62,0,0.262879153,16615.0,11,0,1,0,1.0,16.298507486,1510.4545454545455
287,0,0.9999999,47,0,0.092163472,9493.0,2,2,0,1,0.0,4.331683184,4746.5
288,0,0.9999999,62,0,0.0,5480.0,3,0,0,0,0.0,0.0,1826.6666666666667
289,0,0.074256375,49,0,0.347930414,5000.0,11,0,2,0,3.0,17.048590286,454.54545454545456
290,0,0.144878408,66,0,0.28446242,8900.0,9,0,1,0,0.0,18.77451972,988.8888888888889
291,0,0.191001932,54,0,0.705627706,5081.0,10,0,2,0,2.0,38.103896124,508.1
292,0,0.219382879,56,1,942.0,,9,0,1,0,1.0,52752.0,
293,0,0.679813777,83,0,0.689589756,4216.0,6,0,2,0,0.0,57.235949748,702.6666666666666
294,0,2340.0,45,0,0.339332853,8333.0,7,0,2,0,2.0,15.269978385,1190.4285714285713
295,0,0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3.0,15.552368529999999,255.55555555555554
296,0,0.025856408,67,0,0.083799311,13054.0,13,0,1,0,0.0,5.614553837,1004.1538461538462
297,0,0.547887778,29,1,0.24651504,2725.0,5,0,0,1,0.0,7.14893616,545.0
298,0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0,13.010189246,1128.5714285714287
299,0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0,25125.0,0.0
300,0,0.897203427,68,0,0.787803049,4000.0,8,0,2,0,0.0,53.570607332,500.0
301,0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0,17.735564187,1633.3333333333333
302,0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0,2.1937041500000003,698.75
303,0,0.035940506,46,0,0.271186441,6666.0,10,0,1,0,3.0,12.474576286,666.6
304,0,0.9999999,66,0,0.046633911,11600.0,2,0,0,0,1.0,3.077838126,5800.0
305,0,0.465238835,66,0,0.391427671,3172.0,8,1,1,0,0.0,25.834226286,396.5
306,0,0.865423051,48,0,0.075848303,500.0,1,0,0,0,0.0,3.6407185440000003,500.0
307,0,0.696411671,52,0,0.408871921,11000.0,11,0,1,0,4.0,21.261339892000002,1000.0
308,0,0.544497658,32,1,0.166766647,6667.0,5,1,0,0,0.0,5.336532704,1333.4
309,0,0.081238383,51,0,0.066830086,7750.0,14,0,0,0,2.0,3.408334386,553.5714285714286
310,0,0.948762809,27,0,0.144948404,4166.0,5,0,0,0,0.0,3.913606908,833.2
311,0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0,14.835544832,746.0
312,0,0.016598893,30,0,0.136575616,1500.0,5,0,0,0,0.0,4.09726848,300.0
313,0,0.063329564,37,0,0.329935275,6179.0,6,0,1,0,3.0,12.207605175,1029.8333333333333
314,0,0.093638481,49,0,0.042836573,8333.0,10,0,0,0,1.0,2.098992077,833.3
315,0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0,6.809011506,1580.0
316,0,0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0.0,22.780585332,550.0
317,0,0.426371142,62,1,0.406053995,3666.0,15,0,1,0,0.0,25.17534769,244.4
318,0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0,2.493438324,2666.6666666666665
319,0,0.0,59,0,0.0,4200.0,7,0,0,0,1.0,0.0,600.0
320,0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0,17.956631948000002,443.75
321,0,0.0164781,92,0,10.0,,3,0,0,0,0.0,920.0,
322,0,0.042606843,58,0,3976.0,,13,0,3,0,0.0,230608.0,
323,0,0.022890604,37,0,0.288477299,6100.0,16,0,1,0,0.0,10.673660063000002,381.25
324,0,0.283821988,63,0,0.750200803,1244.0,9,0,0,0,0.0,47.262650589,138.22222222222223
325,0,0.319779462,32,0,1.247340213,12500.0,12,0,8,0,0.0,39.914886816,1041.6666666666667
326,0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0,25.14293938,463.06666666666666
327,0,0.013115183,43,0,4211.0,0.0,21,0,2,0,2.0,181073.0,0.0
328,0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0,4.881874703,696.6666666666666
329,0,0.284236153,45,1,0.318890815,7500.0,9,0,1,0,2.0,14.350086675,833.3333333333334
330,0,0.727560021,38,0,0.712458746,2423.0,6,0,1,0,1.0,27.073432348,403.8333333333333
331,0,0.687779097,62,0,0.249471161,7090.0,15,0,0,0,0.0,15.467211982,472.6666666666667
332,0,0.9999999,29,0,0.0,,0,0,0,0,0.0,0.0,
333,0,0.033708851,41,0,0.408706353,6500.0,9,0,1,0,2.0,16.756960473,722.2222222222222
334,0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0,5.624125295,428.57142857142856
335,1,0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3.0,1.86864527,2272.7272727272725
336,0,0.0,55,1,0.388320836,4400.0,4,0,2,0,1.0,21.35764598,1100.0
337,0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0,0.13348679700000002,1303.25
338,0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0,8.190228593,1318.5714285714287
339,0,0.0,61,0,1.394967177,913.0,11,0,2,0,0.0,85.09299779700001,83.0
340,0,0.399946674,28,0,0.189702574,4000.0,6,0,0,0,1.0,5.311672072,666.6666666666666
341,0,0.052653171,43,0,0.572292191,1984.0,9,0,0,0,4.0,24.608564212999998,220.44444444444446
342,0,0.072318616,71,0,0.426412462,4300.0,8,0,2,0,1.0,30.275284801999998,537.5
343,0,0.203959597,46,0,0.072914726,16100.0,6,0,1,0,2.0,3.354077396,2683.3333333333335
344,0,0.9999999,30,0,0.090341011,5600.0,1,0,0,0,0.0,2.71023033,5600.0
345,1,0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1.0,19.836921852,1253.8333333333333
346,0,0.429246267,59,0,0.381254316,15928.0,17,0,1,0,1.0,22.494004644,936.9411764705883
347,0,0.0,47,0,773.0,,2,0,1,0,1.0,36331.0,
348,0,0.049529205,61,0,542.0,,15,0,0,0,0.0,33062.0,
349,0,0.360907571,72,0,0.356679286,3697.0,6,0,1,0,0.0,25.680908591999998,616.1666666666666
350,0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0,22.8611015,641.4444444444445
351,1,0.635720859,68,1,0.218071277,25000.0,27,0,3,0,0.0,14.828846836,925.925925925926
352,0,0.0,58,0,8380.0,,20,0,5,0,0.0,486040.0,
353,0,0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0.0,13.381539495,300.0
354,0,0.245841666,71,0,151.0,,5,0,0,0,0.0,10721.0,
355,1,0.953343701,48,2,2073.0,,5,1,2,2,0.0,99504.0,
356,0,0.9999999,37,0,0.184625639,4500.0,2,0,0,0,1.0,6.831148643000001,2250.0
357,0,0.118853837,50,0,2720.0,,7,0,1,0,2.0,136000.0,
358,0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0,21.406465292,628.6666666666666
359,0,0.9999999,35,0,3388.0,,1,0,1,0,0.0,118580.0,
360,0,0.028423247,59,0,0.033982276,14330.0,12,0,1,0,0.0,2.004954284,1194.1666666666667
361,0,0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0.0,8.004058587,629.5555555555555
362,0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0,20.94362256,357.14285714285717
363,0,0.496388581,56,0,0.170164956,19580.0,12,0,1,0,1.0,9.529237536,1631.6666666666667
364,0,0.457526639,51,0,0.333583302,8000.0,16,0,2,0,2.0,17.012748402,500.0
365,0,0.728218119,40,1,3878.0,,10,0,2,0,0.0,155120.0,
366,0,0.947264856,28,0,0.467171717,1187.0,4,0,0,0,0.0,13.080808076,296.75
367,0,0.013916922,54,0,0.017655818,4700.0,7,0,0,0,2.0,0.953414172,671.4285714285714
368,0,0.066347297,46,1,4480.0,,6,0,2,0,0.0,206080.0,
369,0,0.502958087,57,0,6381.0,,5,0,2,0,0.0,363717.0,
370,0,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0,11.00981406,483.875
371,0,0.012586354,79,0,0.009596162,2500.0,11,0,0,0,0.0,0.758096798,227.27272727272728
372,0,0.543445655,46,0,0.267146571,5000.0,6,0,2,0,3.0,12.288742266,833.3333333333334
373,0,0.026580302,79,0,1063.0,,7,0,1,0,0.0,83977.0,
374,0,0.082317351,64,0,0.214426305,8636.0,29,0,1,0,1.0,13.72328352,297.7931034482759
375,0,0.292541492,74,0,0.164917541,2000.0,3,0,0,0,0.0,12.203898034,666.6666666666666
376,0,0.024240472,64,0,0.101514142,10500.0,20,0,1,0,0.0,6.496905088,525.0
377,0,0.047650102,63,0,0.387956894,9000.0,6,0,2,0,0.0,24.441284322,1500.0
378,1,0.739146488,63,1,0.285156885,6150.0,12,0,0,0,1.0,17.964883755000002,512.5
379,0,0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1.0,35.401812696,520.0
380,0,0.007501937,63,0,0.278226307,8050.0,13,0,2,0,3.0,17.528257341,619.2307692307693
381,0,0.522314625,45,0,0.290229092,14491.0,13,0,1,0,3.0,13.060309140000001,1114.6923076923076
382,0,0.9999999,22,0,130.0,,0,0,0,0,,2860.0,
383,0,0.571604587,66,0,870.0,,12,0,0,0,,57420.0,
384,0,0.903231566,57,0,0.13080895,5228.0,10,0,0,0,0.0,7.456110150000001,522.8
385,0,0.017043518,43,0,0.10821382,2300.0,6,0,0,0,1.0,4.65319426,383.3333333333333
386,0,0.060733396,61,0,0.008549573,20000.0,8,0,0,0,0.0,0.521523953,2500.0
387,0,0.000582648,54,0,2028.0,,13,0,1,0,1.0,109512.0,
388,0,0.003894686,90,0,876.0,,11,0,1,0,0.0,78840.0,
389,0,0.250008365,60,0,2.086478612,7550.0,26,0,0,0,0.0,125.18871672,290.38461538461536
390,0,0.466334165,34,2,0.007495315,3201.0,3,0,0,0,0.0,0.25484070999999997,1067.0
391,0,0.114588541,38,0,34.0,,2,0,0,0,0.0,1292.0,
392,0,0.9999999,60,0,0.0,4200.0,0,0,0,0,0.0,0.0,4200.0
393,0,0.267905614,76,0,0.285452994,8200.0,12,0,0,0,0.0,21.694427544,683.3333333333334
394,0,0.029694361,76,0,0.070513488,9600.0,7,0,0,0,2.0,5.359025088,1371.4285714285713
395,0,0.305246317,39,0,0.188281635,10154.0,6,0,1,0,2.0,7.3429837650000005,1692.3333333333333
396,0,0.000685675,83,0,0.0,,4,0,0,0,0.0,0.0,
397,0,0.702493864,63,0,0.582162622,4697.0,8,0,2,0,1.0,36.676245186,587.125
398,0,0.742436041,52,0,0.414081023,9700.0,10,0,2,0,0.0,21.532213196,970.0
399,1,0.802417179,58,1,668.0,,5,1,0,0,0.0,38744.0,
400,0,0.9999999,42,1,0.113421853,6250.0,3,3,0,1,2.0,4.763717826,2083.3333333333335
401,0,0.134191514,63,0,926.5,1.0,9,0,1,0,0.0,58369.5,0.1111111111111111
402,0,0.002556199,58,0,0.115826132,7752.0,17,0,0,0,2.0,6.717915656,456.0
403,0,0.088845558,62,0,0.073772011,5394.0,5,0,0,0,0.0,4.573864682,1078.8
404,0,0.203947961,46,1,1.206516118,5800.0,12,1,4,0,2.0,55.49974142799999,483.3333333333333
405,0,0.006666097,27,0,0.000268637,7444.0,5,0,0,0,0.0,0.007253199,1488.8
406,0,0.014049649,27,0,0.352214765,3724.0,4,0,1,0,1.0,9.509798654999999,931.0
407,0,0.9999999,35,1,0.092985318,3064.0,1,0,0,0,3.0,3.25448613,3064.0
408,0,0.368866624,55,0,0.437996083,9700.0,18,0,2,0,0.0,24.089784565,538.8888888888889
409,0,0.054553316,73,0,0.043259135,16666.0,13,0,0,0,0.0,3.157916855,1282.0
410,0,0.179487766,51,0,0.492529978,10173.0,19,0,4,0,0.0,25.119028877999998,535.421052631579
411,0,0.026885902,36,0,0.344879921,11200.0,6,0,2,0,2.0,12.415677156,1866.6666666666667
412,0,0.265705207,56,0,0.259102536,31666.0,8,0,3,0,1.0,14.509742016,3958.25
413,0,0.0,59,0,2113.0,,13,0,2,0,,124667.0,
414,0,0.011847989,49,0,1599.0,,12,0,1,0,0.0,78351.0,
415,0,0.07083751,64,0,0.255290785,6000.0,6,0,0,0,1.0,16.33861024,1000.0
416,0,0.030996074,56,0,0.131430952,4800.0,11,0,1,0,0.0,7.360133311999999,436.3636363636364
417,0,0.144914011,37,0,0.045366363,6700.0,5,0,0,0,0.0,1.678555431,1340.0
418,0,0.353017659,48,0,1.299736021,4166.0,17,0,1,0,1.0,62.387329007999995,245.05882352941177
419,0,0.020074662,36,0,0.334245422,4750.0,5,0,1,0,0.0,12.032835192,950.0
420,0,0.032769199,70,0,724.0,,11,0,1,0,0.0,50680.0,
421,1,0.733885463,49,2,0.369223765,8785.0,20,0,2,0,2.0,18.091964485,439.25
422,0,0.063514422,57,0,2221.5,1.0,12,0,2,0,0.0,126625.5,0.08333333333333333
423,0,0.03157211,39,0,0.644706486,3900.0,14,0,1,0,1.0,25.143552954,278.57142857142856
424,1,0.991502124,61,10,1.2979007,3000.0,11,2,3,5,1.0,79.1719427,272.72727272727275
425,0,0.397702982,38,0,0.41627543,5750.0,6,0,1,0,2.0,15.81846634,958.3333333333334
426,0,0.971352432,24,0,0.035803497,1200.0,3,0,0,0,0.0,0.859283928,400.0
427,0,0.9999999,33,0,1786.0,,3,0,1,0,0.0,58938.0,
428,0,0.0,73,0,0.386728192,4550.0,18,0,0,0,0.0,28.231158016000002,252.77777777777777
429,0,0.9999999,79,0,0.130140954,5178.0,6,0,1,0,0.0,10.281135366,863.0
430,0,0.003851709,81,0,0.000822143,3648.0,1,0,0,0,1.0,0.066593583,3648.0
431,0,0.010887967,55,0,0.725137431,2000.0,7,0,2,0,0.0,39.882558705,285.7142857142857
432,0,0.686083014,57,0,0.16069592,11667.0,6,1,1,0,2.0,9.15966744,1944.5
433,0,0.212464485,58,0,0.518991188,3290.0,10,0,1,0,1.0,30.101488904,329.0
434,0,0.006956358,52,0,0.003278689,2439.0,4,0,0,0,0.0,0.170491828,609.75
435,0,0.073251754,51,0,0.446688128,10250.0,9,0,1,0,2.0,22.781094528,1138.888888888889
436,0,0.431904058,63,0,0.41905226,8208.0,22,1,2,0,0.0,26.40029238,373.09090909090907
437,0,0.006999563,97,0,3.0,,2,0,0,0,,291.0,
438,0,0.014310431,56,0,13.0,,2,0,0,0,0.0,728.0,
439,0,0.026944485,41,0,0.686736475,4583.0,8,0,3,0,0.0,28.156195475,572.875
440,0,0.297094601,43,1,0.603763294,3666.0,9,0,1,0,2.0,25.961821641999997,407.3333333333333
441,0,0.316064767,56,0,1348.0,,3,0,1,0,0.0,75488.0,
442,0,0.0,59,0,862.0,,2,0,1,0,0.0,50858.0,
443,0,0.922670104,40,0,0.207789429,9345.0,7,0,0,0,0.0,8.31157716,1335.0
444,0,0.051077957,74,0,0.306409131,3416.0,9,0,1,0,0.0,22.674275694,379.55555555555554
445,0,0.319190816,49,0,0.358153388,9400.0,18,0,2,0,0.0,17.549516012,522.2222222222222
446,0,0.008737352,68,0,0.209965006,6000.0,28,0,1,0,0.0,14.277620408,214.28571428571428
447,0,0.0,57,0,0.785229953,6783.0,8,0,3,0,0.0,44.758107321,847.875
448,0,0.243674266,48,0,0.179979778,8900.0,10,0,1,0,6.0,8.639029344,890.0
449,0,0.9999999,40,1,0.19170579,3833.0,3,2,0,0,2.0,7.6682315999999995,1277.6666666666667
450,0,0.0,23,0,0.0,3500.0,1,0,0,0,1.0,0.0,3500.0
451,0,0.028910707,52,0,0.013543599,5389.0,7,0,0,0,2.0,0.704267148,769.8571428571429
452,0,0.03423863,48,0,2045.0,,3,0,1,0,0.0,98160.0,
453,0,0.50329934,55,0,0.454057468,3166.0,5,0,2,0,0.0,24.97316074,633.2
454,0,0.799981673,61,3,0.671076012,5064.0,19,0,3,1,0.0,40.935636732,266.5263157894737
455,0,0.069987933,33,0,0.114004783,3762.0,7,0,0,0,0.0,3.762157839,537.4285714285714
456,0,0.067901335,69,0,0.065493451,10000.0,5,0,1,0,0.0,4.519048119,2000.0
457,0,0.740635161,39,0,0.432010059,5566.0,7,0,1,0,0.0,16.848392301,795.1428571428571
458,0,0.023382944,84,0,0.00912845,4600.0,6,0,0,0,0.0,0.7667898,766.6666666666666
459,0,0.9999999,32,2,0.095584668,2060.0,1,0,0,0,0.0,3.058709376,2060.0
460,0,0.003625197,78,0,726.0,,8,0,1,0,,56628.0,
461,0,0.092287617,61,0,0.229436075,7500.0,23,0,2,0,2.0,13.995600575,326.0869565217391
462,0,0.0,37,0,0.177007047,7236.0,5,0,1,0,3.0,6.549260739,1447.2
463,0,0.9999999,33,1,0.257707218,5416.0,2,2,1,0,1.0,8.504338194,2708.0
464,0,0.057867667,81,0,0.145685279,3939.0,13,0,0,0,0.0,11.800507599,303.0
465,0,0.07807727,60,0,0.566105156,3917.0,14,0,1,0,2.0,33.96630936,279.7857142857143
466,0,0.201943642,46,0,0.394460554,10000.0,15,0,2,0,3.0,18.145185484000002,666.6666666666666
467,0,0.077958915,57,0,0.053530226,6500.0,19,0,0,0,0.0,3.051222882,342.10526315789474
468,0,0.205676486,57,0,0.130309575,8333.0,8,0,1,0,0.0,7.427645775,1041.625
469,1,0.9999999,32,0,0.006731051,3416.0,1,0,0,0,3.0,0.215393632,3416.0
470,1,0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0.0,24.957423161999998,337.5
471,0,0.073393457,38,1,0.384761524,10000.0,9,0,2,0,0.0,14.620937912,1111.111111111111
472,0,0.079178219,82,0,0.176964607,5000.0,3,0,1,0,0.0,14.511097774,1666.6666666666667
473,0,0.073123172,33,0,0.216405216,5290.0,9,0,0,0,0.0,7.141372128,587.7777777777778
474,0,0.745173448,68,0,0.168767792,4917.0,4,0,1,0,0.0,11.476209856,1229.25
475,0,0.10088331,52,1,0.280494456,5500.0,6,1,1,0,2.0,14.585711712,916.6666666666666
476,0,0.347665233,46,0,0.041583367,2500.0,1,0,0,0,1.0,1.912834882,2500.0
477,0,0.102031508,66,0,90.0,,4,0,0,0,0.0,5940.0,
478,0,0.354125994,57,0,0.558762411,4330.0,4,0,1,0,0.0,31.849457427,1082.5
479,0,0.029643294,50,0,0.399106478,9400.0,15,3,4,0,0.0,19.9553239,626.6666666666666
480,0,0.540204354,34,0,0.034395414,7500.0,3,1,0,0,0.0,1.169444076,2500.0
481,0,0.640927271,53,4,0.52409692,11266.0,17,0,2,0,3.0,27.777136759999998,662.7058823529412
482,0,0.058271403,76,0,0.374304267,4311.0,7,0,1,0,0.0,28.447124292,615.8571428571429
483,0,0.719305764,64,0,0.186225718,6228.0,5,0,1,0,0.0,11.918445952,1245.6
484,0,0.045017363,72,0,0.020763907,3900.0,8,0,0,0,0.0,1.495001304,487.5
485,0,0.35592819,48,0,0.478090767,7667.0,17,0,2,0,0.0,22.948356816,451.0
486,0,0.57762185,71,1,0.4925,6399.0,14,0,2,0,1.0,34.9675,457.07142857142856
487,0,0.015054291,59,0,929.0,,11,0,1,0,2.0,54811.0,
488,0,0.320593837,53,0,1.114622389,5600.0,14,0,1,0,1.0,59.074986617,400.0
489,0,0.047587303,34,0,997.0,,4,0,0,0,,33898.0,
490,0,0.173428408,51,1,0.086269282,5250.0,11,0,0,0,0.0,4.399733382,477.27272727272725
491,0,0.401789055,55,0,0.412779302,2550.0,11,0,0,0,0.0,22.70286161,231.8181818181818
492,0,0.301152442,46,0,0.254661625,7668.0,10,0,1,0,3.0,11.71443475,766.8
493,0,0.0,27,2,0.229139073,2264.0,5,2,0,1,0.0,6.186754971,452.8
494,0,0.067512585,43,0,0.44723563,9115.0,4,0,2,0,0.0,19.23113209,2278.75
495,0,0.0,75,0,0.205971968,1640.0,4,0,0,0,1.0,15.447897600000001,410.0
496,0,0.993335555,31,0,0.068227425,4484.0,6,0,0,0,1.0,2.115050175,747.3333333333334
497,0,0.138793584,43,0,0.384074741,11666.0,9,0,5,0,0.0,16.515213863,1296.2222222222222
498,0,0.193584801,51,0,0.532754538,3800.0,13,0,2,0,0.0,27.170481438000003,292.3076923076923
499,0,0.001124859,28,1,0.057990335,6000.0,8,1,0,0,0.0,1.6237293799999999,750.0
500,0,0.485558448,51,0,0.09963548,6583.0,5,0,0,0,0.0,5.08140948,1316.6
501,0,0.979521555,55,1,0.467850417,7433.0,11,0,2,2,0.0,25.731772935000002,675.7272727272727
502,0,0.090641506,69,0,0.016683267,4015.0,2,0,0,0,0.0,1.151145423,2007.5
503,0,0.38480769,42,0,0.533099636,7416.0,5,0,1,0,3.0,22.390184712,1483.2
504,0,0.183676155,33,0,0.660528423,2497.0,9,0,1,0,0.0,21.797437959,277.44444444444446
505,0,0.018124667,60,0,0.023181455,1250.0,4,0,0,0,1.0,1.3908873,312.5
506,1,0.9999999,54,0,0.228402866,2372.0,2,0,0,1,0.0,12.333754764,1186.0
507,0,0.290320472,48,0,0.262848568,7996.0,7,0,1,0,3.0,12.616731264,1142.2857142857142
508,0,0.052161271,49,0,0.067629397,6993.0,5,0,0,0,1.0,3.3138404529999996,1398.6
509,0,0.9999999,73,0,8500.0,0.0,2,0,0,0,0.0,620500.0,0.0
510,0,0.9999999,91,0,0.0,,3,0,0,0,,0.0,
511,0,0.412657703,66,1,0.195074372,4100.0,7,1,0,0,0.0,12.874908551999999,585.7142857142857
512,0,0.091201293,49,1,0.568886223,5000.0,15,0,2,0,0.0,27.875424927,333.3333333333333
513,0,0.500234532,46,0,0.278025952,4700.0,10,0,1,0,1.0,12.789193792,470.0
514,1,0.913140498,37,2,1.620344914,4000.0,16,0,3,0,1.0,59.952761818,250.0
515,0,0.056390008,54,0,2126.0,,8,0,1,0,0.0,114804.0,
516,0,0.611388611,22,0,0.347066167,800.0,4,0,0,0,0.0,7.635455673999999,200.0
517,0,0.065630892,31,0,0.162635688,5250.0,10,0,0,0,0.0,5.041706328,525.0
518,0,0.499666889,39,0,0.450171821,3200.0,8,0,1,0,0.0,17.556701019000002,400.0
519,0,0.9999999,56,0,7.0,,1,0,0,0,0.0,392.0,
520,0,0.289470539,44,0,0.4825614,8916.0,17,0,2,0,1.0,21.2327016,524.4705882352941
521,1,0.814154511,50,1,0.297139683,3600.0,8,0,1,1,1.0,14.856984149999999,450.0
522,0,0.016406971,55,0,0.001785714,5599.0,3,0,0,0,2.0,0.09821427,1866.3333333333333
523,0,0.078497383,52,0,0.207274054,8220.0,5,0,1,0,3.0,10.778250808000001,1644.0
524,0,0.029692431,58,2,0.287187752,6204.0,19,0,1,0,0.0,16.656889616,326.5263157894737
525,0,0.01255887,62,0,0.044762033,7416.0,5,0,0,0,0.0,2.775246046,1483.2
526,0,0.062093267,42,0,0.230261579,8333.0,6,0,1,0,4.0,9.670986318,1388.8333333333333
527,0,0.074201053,47,0,1215.0,,4,0,1,0,,57105.0,
528,0,0.551889862,42,1,0.790613718,3600.0,18,0,2,0,1.0,33.205776156,200.0
529,1,0.640058527,39,0,0.055984556,9841.0,9,0,0,0,2.0,2.183397684,1093.4444444444443
